Artist,Title
Loretta Lynn,Be Proud Of Your Man
Kenny Loggins,This Is It
Divine,Missing U
Mary Black,Donegal Breeze
Bon Jovi,Never Say Goodbye
Evanescence,The Other Side
Stone Temple Pilots,Sour Girl
John Denver,Everyday
Roy Orbison,Party Heart
Underworld,Always Loved A Film
Tom Jones,Delilah
Quietdrive,Secret
Carly Simon,Lost In Your Love
Steely Dan,Teahouse On The Tracks
Pat Benatar,So Sincere
Dolly Parton,Hello God
Fiona Apple,On The Bound
Reba Mcentire,Big Blue Sky
Tragically Hip,Inevitability Of Death
George Harrison,My Sweet Lord
Glen Campbell,It's Your World Boys And Girls
Elton John,Abide With Me
Great Big Sea,Company Of Fools
Israel,Unperfect Love
Yazoo,Winter Kills
Beach Boys,Good Timin'
Hollies,Louisiana Man (Kershaw)
O.A.R.,So Good So Far
Backstreet Boys,Try
XTC,Crocodile
Hanson,Great Divide
Eminem,Failed Destiny
Neil Diamond,My Heart Will Go On
Quarterflash,Nowhere Left To Hide
Wishbone Ash,She Was My Best Friend
U2,Get On Your Boots
Unseen,The End Is Near
Rush,Faithless
Nitty Gritty Dirt Band,Jealous Moon
Chris Brown,Freaky I'm Iz
John Prine,All The Best
Reba Mcentire,All This Time
Poison,Love On The Rocks
Dan Fogelberg,Earth Anthem
Hank Snow,Just A Faded Petal From A Beautiful Bouquet
Zeromancer,Erotic Saints
Cat Stevens,Bitterblue
Old 97's,Four Leaf Clover
Hanson,Lulla Belle
Megadeth,Symphony Of Destruction
Human League,Never Give Your Heary
Santana,Songs Of Freedom
Robbie Williams,Better Days
Eric Clapton,Milkcow's Calf Blues
Ozzy Osbourne,Diggin' Me Down
Pitbull,Something For The DJ's
Red Hot Chili Peppers,One Big Mob
Alice In Chains,All Secrets Known
Imagine Dragons,Hear Me
Lionel Richie,Outrageous
Fastball,Always Never
Ween,Fat Lenny
Old 97's,St. Ignatius
Genesis,In Too Deep
David Allan Coe,Tennessee Whiskey
Grand Funk Railroad,Feelin' Alright
Helloween,Stay Crazy
Talking Heads,Girlfriend Is Better
George Jones,After You
Scorpions,Don't Believe Her
David Bowie,I Keep Forgetting
Indiana Bible College,Forevermore
Foreigner,Until The End Of Time
Randy Travis,Somewhere In My Broken Heart
Tom T. Hall,No New Friends Please
Deep Purple,The Coffee Song
Eric Clapton,Black Rose
Blur,Song 2
Misfits,I Wanna Be A Ny Ranger
Cliff Richard,Have Yourself A Merry Little Christmas
Waterboys,Has Anybody Here Seen Hank
Imperials,Come Into My Life
David Guetta,Louder Than Words
Don McLean,Infinity
Reba Mcentire,I Don't Need Nothin' You Ain't Got
Aerosmith,Sunshine
Glee,Dancing With Myself
Roy Orbison,Lonely Wine
Pharrell Williams,Know Who You Are
Metallica,Invisible Kid
Backstreet Boys,Incomplete
Rage Against The Machine,Tire Me
Lana Del Rey,Riverside
Ella Fitzgerald,Every Time We Say Goodbye
System Of A Down,Bounce
Leo Sayer,Why Is Everybody Going Home
Dolly Parton,Baby I'm Burning
Bonnie Raitt,I Sho Do
Quiet Riot,Don't Think So
Lenny Kravitz,Spin The Bottle
Moody Blues,This Is The Moment
Christmas Songs,"Percy, The Puny Poinsettia"
Alice Cooper,Billion Dollar Babies
Diana Ross,Last Time I Saw Him
Reo Speedwagon,Wheels Are Turnin'
Otis Redding,Don't Be Afraid Of Love
Red Hot Chili Peppers,Body Of Water
Grateful Dead,Row Jimmy
Nazareth,Last Exit Brooklyn
Yngwie Malmsteen,What Do You Want
Grateful Dead,Fire On The Mountain
Blur,Chinese Bombs
Leann Rimes,Love Must Be Telling Me Something
Prince,Elephants And Flowers
Dusty Springfield,Living Without Your Love
Poison,69
Gloria Estefan,Don't Let This Moment End
Prince,Another Lonely Christmas
Joni Mitchell,Banquet
Frank Sinatra,Cycles
"Harry Connick, Jr.",The Jitterbug
Bette Midler,Cowgirl's Dream
Faith No More,The Jungle
One Direction,Tell Me That You Want Me
Guns N' Roses,Irs
John Prine,Bad Boy
Kiss,Larger Than Life
Leo Sayer,Wounded Heart
Hooverphonic,Antarctica
Nazareth,Hair Of The Dog
Pet Shop Boys,You Choose
Neil Sedaka,You're Knockin'me Out
Wanda Jackson,Here We Are Again
Steve Miller Band,Rock Love
Kid Rock,All Summer Long
Robbie Williams,The Lady Is A Tramp
King Diamond,Room 17
Jimi Hendrix,Johnny B. Goode (live)
Procol Harum,Something Magic
Diana Ross,God Bless The Child
Alan Parsons Project,Far Away From Home
Def Leppard,Travelling Band
Tool,Part Of Me
Frank Sinatra,And Then You Kissed Me
LL Cool J,Every Sip
Foo Fighters,Walking After You
Bryan White,Love Is The Right Place
Cliff Richard,Bachelor Boy
Marillion,Splintering Heart
Radiohead,Worry Wort
Travis,Friends
Styx,A Song For Suzanne
Kenny Loggins,A Lover's Question
The Temptations,I Ain't Got Nothing
Billie Holiday,I'm Painting The Town Red
INXS,In Vain
Billie Holiday,"One, Two, Button Your Shoe"
Deep Purple,You Keep On Moving
Pretenders,Who's Who
Bob Dylan,Beyond Here Lies Nothin'
Chuck Berry,House Lights
'n Sync,Everything I Own
Coldplay,Lips Like Sugar
Clash,I Fought The Law
Lou Reed,Leave Me Alone
Cyndi Lauper,Come On Home
Beautiful South,Love Wars
The Beatles,Little Child
Reba Mcentire,Everything But My Heart
Puff Daddy,Wanna Move
Wet Wet Wet,Sweet Little Mystery
Tim McGraw,Damn Country Music
Evanescence,My Heart Is Broken
Supertramp,Forever
Chris Brown,Blue Jeans
Avril Lavigne,My World
Tom T. Hall,Don't Forget The Coffee Billy Joe
Morrissey,Lucky Lisp
Jimmy Buffett,Island
Tracy Chapman,If These Are The Things
Arlo Guthrie,The Motorcycle Song
Demi Lovato,Back Around
Guns N' Roses,Imagine
Foreigner,I'll Fight For You
Cinderella,Heartbreak Station
Kate Bush,Once
Depeche Mode,The Things You Said
Billy Joel,"Summer, Highland Falls"
Styx,I'm Gonna Make You Feel It
Cher,Girl Don't Come
Zebrahead,Blur
Z-Ro,Guerilla Till I Die
Bon Jovi,I'd Die For You
Grateful Dead,Blow Away
Cyndi Lauper,Someone Like Me
Nick Cave,Mack The Knife
Lynyrd Skynyrd,One More Time
Insane Clown Posse,High Rise
Leann Rimes,A Waste Is A Terrible Thing To Mind
Eurythmics,Take Your Pain Away
Hillsong,None but Jesus
Olly Murs,Did I Lose You
Mary Black,Brand New Star
Green Day,86
NOFX,Benny Got Blowed Up
'n Sync,Pop
Vince Gill,The Key To Life
James Taylor,Up On The Roof
Garth Brooks,Papa Loved Mama
The Beatles,Chains
Overkill,"Cold, Hard Fact"
Lynyrd Skynyrd,Georgia Peaches
George Strait,Good Time Charley's
Alabama,Precious Memories
Ramones,Indian Giver
R. Kelly,exit
Evanescence,My Last Breath
Rush,Force Ten
Christy Moore,Don't Forget Your Shovel
Quasi,Alice The Goon
Genesis,Congo
Hank Snow,For Sale
The Beatles,Got To Get It Into My Life
Ne-Yo,Put That Thang On U
Perry Como,Just One Way To Say I Love You
Opeth,To Rid The Disease
Pearl Jam,Rockin' In The Free World
John Mellencamp,Without Expression
Elvis Presley,Have A Happy
Primus,Mary The Ice Cube
Rolling Stones,Always Suffering
Everclear,Heroin Girl
George Strait,"Oh, What A Perfect Day"
Katy Perry,Electric Feel
Sting,This Cowboy Song
Garth Brooks,Wild Horses
Soundgarden,Let Me Drown
Old 97's,The New Kid
Barbra Streisand,I Won't Be The One To Let Go
Bob Dylan,Beyond The Horizon
John Denver,Love Of The Common People
Migos,Cook It Up
Taylor Swift,Silent Night
Kate Bush,Warm And Soothing
Usher,It Is What It Is
Zoegirl,Believe
Patsy Cline,Blue Moon Of Kentucky
Stevie Ray Vaughan,Texas Flood
Tim McGraw,Somebody Must Be Prayin' For Me
Matt Redman,Here I Am A Sinner Free
'n Sync,Against The Wall
Judy Garland,If I Had You
Chuck Berry,Route 66
Nick Cave,Let It Be
Olivia Newton-John,Banks Of The Ohio
Vertical Horizon,Won't Go Away
America,Hangover
Elvis Costello,Dissolve
Ellie Goulding,Stay Awake
Fabolous,Funkmaster Flex Freestyle
Enigma,Why
Frank Sinatra,Bye Bye Baby
Leo Sayer,Rumours
Maroon 5,Don't Look Back In Anger
Norah Jones,Turn Me On
Hillsong,Lord of All
Norah Jones,Chasing Pirates
Meat Loaf,Surf's Up
Vanessa Williams,Midnight Blue
Nat King Cole,Let True Love Begin
Justin Bieber,Heartbreaker
America,Christmas In California
Talking Heads,Air
Hank Snow,Cuba Rhumba
Pink Floyd,Swan Lee
Divine,The Name Game
Lionel Richie,Have Yourself A Merry Little Christmas
Lou Reed,Adventurer
Unwritten Law,Geronimo
Lynyrd Skynyrd,Workin'
Phil Collins,Easy Lover
Michael Buble,Surrender
Guns N' Roses,Silk Worms
Point Of Grace,King Of The World
Vince Gill,I've Been Hearing Things About You
Def Leppard,Bad Actress
Robbie Williams,By All Means Necessary
Leann Rimes,Love Is An Army
Neil Young,Downtown
Nick Drake,All My Trials
Otis Redding,Security
Megadeth,Promises
Scorpions,We Will Rise Again
Helloween,Do You Feel Good
Kenny Rogers,I Prefer The Moonlight
Heart,Million Miles
Billie Holiday,"Baby, I Don't Cry Over You"
Ne-Yo,Protect You
Ultravox,The Song (We Go)
Luther Vandross,Love The One You're With
Steve Miller Band,Swing Town
Kyla,Let The Love Begin
Joy Division,Atmosphere
Jackson Browne,Disco Apocalypse
Queens Of The Stone Age,Suture Up Your Future
Kris Kristofferson,Fallen Angel
Allman Brothers Band,Angeline
The Beatles,Have A Banana!
Oingo Boingo,Nothing To Fear
Usher,My Way
Radiohead,Decks Dark
Journey,What I Needed
Judy Garland,Merry Christmas
Prince,Funky
Hillsong United,Forever And A Day
O.A.R.,Dinner Last Night
Sublime,40 Oz To Freedom
Cake,"Excuse Me, I Think I've Got A Heartache"
Megadeth,Beginning Of Sorrow
Ozzy Osbourne,Killer Of Giants
Kenny Rogers,Buy Me A Rose
Patsy Cline,Don't Ever Leave Me
Pearl Jam,Even Flow
Alan Parsons Project,I Am A Mirror
Who,Eminence Front
Backstreet Boys,Weird World
Pet Shop Boys,The Way It Used To Be
Kelly Clarkson,My Life Would Suck Without You
Otis Redding,Wonderful World
Nazareth,God Save The South
Yoko Ono,Death Of Samantha
Styx,More Love For The Money
Men At Work,Down By The Sea
George Jones,Billy Ray Wrote A Song
Nick Drake,Poor Boy
Dolly Parton,All I Can Do
Van Morrison,Daring Night
Freddie King,Country Boy
Face To Face,Velocity
Zucchero,Dune Mosse
Smiths,"Frankly, Mr. Shankly"
Bette Midler,A Whiter Shade Of Pale
Uncle Kracker,Smile
Michael Buble,Mack The Knife
Queen,Nevermore
Quincy Jones,Razzamatazz
Roy Orbison,Cry
Willie Nelson,Danny Boy
Neil Young,Girl From The North Country
Bob Seger,Tales Of Lucy Blue
Tina Turner,Nutbush City Limits
Phil Collins,Why Can't It Wait 'till Morning
Gary Numan,Love Isolation
Kylie Minogue,Sensitized
Pearl Jam,Dissident
UB40,Baby
Nazareth,Down Home Girl
Old 97's,Question
Rod Stewart,Hard Road
Waylon Jennings,"Lock, Stock And Teardrops"
Dave Matthews Band,I Don't Know Why
Out Of Eden,More Than You Know
Grateful Dead,Shakedown Street
Ugly Kid Joe,Undertow
Pitbull,Back Up
Townes Van Zandt,Brother Flower
Wanda Jackson,Don't Ask Me Why
Engelbert Humperdinck,You'll Never Know
Manowar,The Demon's Whip
Styx,Just Fell In
Who,Gettin' In Tune
Linkin Park,Empty Spaces
Leo Sayer,Aviation
Pogues,Young Ned Of The Hill
Bon Jovi,Miss Fourth Of July
David Allan Coe,Crazy Mary
Death,Bite The Pain
Reba Mcentire,It's Your Call
Kris Kristofferson,Jesus Was A Capricorn
Verve,The Drugs Don't Work
Judy Garland,Zing Went The Strings Of My Heart
Tiffany,Promises Made
Norah Jones,Why Can't He Be You
Boney M.,Never Change Lovers In The Middle Of The Night
Loretta Lynn,In The Garden
Ocean Colour Scene,Here In My Heart
Chicago,Dialogue
Foreigner,Growing Up The Hard Way
Rihanna,Music Of The Sun
Uriah Heep,Misty Eyes
Glen Campbell,Try A Little Kindness
Genesis,Say It's Alright Joe
Van Morrison,End Of The Land
Fleetwood Mac,Peacekeeper
Hank Williams,I Wish I Had A Nickel
David Allan Coe,Now I Lay Me Down To Cheat
David Guetta,Surrender
Ugly Kid Joe,Busy Bee
'n Sync,When You Wish Upon A Star
Everlast,Lonely Road
Adele,Take It All
Leonard Cohen,Hallelujah
Arlo Guthrie,Little Beggarman
Point Of Grace,The Wonder Of It All
Miley Cyrus,"Ready, Set, Don't Go"
Jimi Hendrix,Red House (In Album Woodstock )
Planetshakers,It's All About Jesus
The Beatles,Get Back
Nina Simone,Everything Must Change
David Bowie,Fashion
Michael Jackson,Men In Black
Bette Midler,Mr. Rockefeller
Eddie Cochran,Even Then
Hanson,Boomerang
Gloria Estefan,Que Ca Ne Finisse Jamais
Nat King Cole,Because Of Rain
Rolling Stones,Continental Drift
Cake,Is This Love?
Notorious B.I.G.,Mo Money Mo Problems
Fleetwood Mac,Love In Store
Scorpions,Catch Your Train
Queen,Good Company
Boney M.,Barbarella Fortuneteller
Linda Ronstadt,Mental Revenge
Bob Marley,Friends And Lovers
Ramones,Apeman Hop
Nicki Minaj,Real Pimpin'
Neil Young,American Dream
Grease,Rock 'N Roll Is Here To Stay
Status Quo,Everytime I Think Of You
Chris Brown,Marvin's Room
Mazzy Star,Under My Car
Rammstein,Shtil
Conway Twitty,Blue Eyes Crying In The Rain
Nirvana,Dive
Waterboys,Song From The End Of The World
Zakk Wylde,Bleed For Me
Helloween,Immortal
Pretenders,Jealous Dogs
The Monkees,We Were Made For Each Other
Maroon 5,I Shall Be Released
Radiohead,The Trickster
Elvis Costello,...and In Every Home
Christina Aguilera,More Than You Know
Usher,Lessons For The Lover
Garth Brooks,You Move Me
Modern Talking,How Deep Is Your Love?
Morrissey,At Amber
Our Lady Peace,If This Is It
Gucci Mane,Back In 95
Bing Crosby,Mexicali Rose
Rolling Stones,I'm Free
George Strait,A Little Heaven's Rubbing Off On Me
Kinks,Harry Rag
Chaka Khan,Circles
Van Halen,Jump
Squeeze,Mumbo Jumbo
Uriah Heep,Hot Persuasion
Lady Gaga,"Beautiful, Dirty, Rich"
Rolling Stones,Bye Bye Johnny
Bee Gees,Kiss Of Life
Nina Simone,Can't Get Out Of This Mood
OneRepublic,Good Life
Emmylou Harris,Little Bird
Conway Twitty,"Darling, You Know I Wouldn't Lie"
Kenny Chesney,I'm Alive
Justin Bieber,Go The Distance
Rainbow,Drinking With The Devil
Olivia Newton-John,Silvery Rain
Louis Jordan,Ain't That Just Like A Woman
R. Kelly,Just Like That
Nickelback,Gotta Get Me Some
Devo,Can You Take It?
Tim McGraw,How Bad Do You Want It
Christina Aguilera,Stand With Me
Eddie Cochran,A Healer Like Time
Wanda Jackson,Swinging Doors
Van Morrison,"Could You, Would You"
Vince Gill,No Future In The Past
Nitty Gritty Dirt Band,Resign Yourself
Nazareth,Alcatraz
Howard Jones,Someone You Need
Kenny Rogers,I'm Gonna Sing You A Sad Song
Natalie Cole,Pink Cadillac
Alabama,Gulf Of Mexico
Utopia,Silly Boy
Tori Amos,Martha's Foolish Ginger
Counting Crows,Anyone But You
Avril Lavigne,Anything But Ordinary
John Prine,Iron Ore Betty
R. Kelly,Gangsta
Rod Stewart,Attractive Female Wanted
Queen Adreena,Are The Songs My Disease?
Neil Young,Birds
Arlo Guthrie,My Love
Bryan White,A Hundred And One
Bread,If
Loretta Lynn,Another Man Loved Me Last Night
John Legend,Number One
Fabolous,Freestyle
Who,I'm One
Chris Brown,Heart To Heart
Bob Dylan,Ballad Of Donald White
Nazareth,If You See My Baby
Richard Marx,Suspicion
Kylie Minogue,Boy
Chris Rea,Set Me Free
Green Day,Fashion Victim
Engelbert Humperdinck,Goodbye Maria
Nat King Cole,Hajji Baba
Peter Gabriel,Schock Den Affen
Yoko Ono,Hirake
Moody Blues,To Share Our Love
Quarterflash,Shane
Lloyd Cole,Today I'm Not So Sure
Jennifer Lopez,Alive[album Version]
Enigma,Foolish Games
HIM,Gone With The Sin
Dream Theater,These Walls
Queensryche,My Global Mind
Faces,Cut Across Shorty
Linda Ronstadt,Hasten Down The Wind
Christmas Songs,Little Saint Nick
Eric Clapton,Malted Milk
Omd,We Love You
Keith Urban,Black Leather Jacket
INXS,All The Voices
