Artist,Title
Iggy Azalea ,Fancy
Jana Kramer ,I Got The Boy
BØRNS ,God Save Our Young Blood
Twenty One Pilots ,Cancer
DaBaby ,Brother’s Keeper
Bad Bunny ,ANTES QUE SE ACABE
Kaskade ,A Little More
ZAYN ,BRIGHT
Bon Iver ,Skinny Love
French Montana ,Bring Dem Things
G,Eazy  Moana
The xx ,Dangerous
Flo Rida ,GDFR
Logic ,Lost In Translation
"Tyler, The Creator ",Foreword
Justin Bieber ,Unstable
Drake ,Best I Ever Had
Gunna ,Banking On Me
Logic ,Therapy Music
Machine Gun Kelly ,fake love don't last
Lil Baby ,Pure Cocaine
Lil Skies ,Through The Motions
Mac Miller ,Circles
Lil Xan ,Betrayed
Lil Baby ,In A Minute
Lil Pump ,Drop Out
Matthew Koma ,So F**kin' Romantic
Ariana Grande ,nasty
Lil Baby ,Voice of the Heroes
The Weeknd ,Six Feet Under
The Beatles ,Get Back  Remastered
Mac Miller ,Hurt Feelings
Mac Miller ,Dunno  Recorded at Spotify Studios NYC
T,Pain  Wake Up Dead
Lorde ,Liability
Tove Lo ,Cool Girl
Lil Nas X ,LIFE AFTER SALEM
Ed Sheeran ,How Would You Feel (Paean)
Arctic Monkeys ,Sculptures Of Anything Goes
Ryan Adams ,Shake It Off
Benson Boone ,GHOST TOWN
Tyga ,Feel Me
NF ,Time
Megan Thee Stallion ,Don’t Stop
Tory Lanez ,TAlk tO Me
Jaden ,Icon
Steve Lacy ,Dark Red
Lil Baby ,Danger
Lil Skies ,I Know You
Quavo ,HUNCHO DREAMS
blink,182  She's Out Of Her Mind
Lizzo ,Good As Hell
YoungBoy Never Broke Again ,Drug Addiction
The Kid LAROI ,OVER YOU
Juice WRLD ,Man Of The Year
Natalie La Rose ,Around The World
Ed Sheeran ,Perfect Duet (Ed Sheeran & Beyoncé)
Maroon 5 ,Maps
Mariah Carey ,Always Be My Baby
XXXTENTACION ,UGLY
Dua Lipa ,Future Nostalgia
RM ,Yun
Steve Aoki ,Just Hold On
5 Seconds of Summer ,Lie To Me
Khalid ,This Way
Maren Morris ,Dear Hate
Fiona Apple ,Under The Table
Future ,Real Baby Pluto
Tyga ,Gucci Snakes
Flume ,Never Be Like You
Beck ,Don't Let It Go
Post Malone ,rockstar
girl in red ,Body And Mind
Russ ,HANDSOMER
NAV ,Count on Me (Intro)
Ariana Grande ,get well soon
ERNEST ,Flower Shops
Kinneret ,No Wind Resistance!
DaBaby ,PEEP HOLE
Miley Cyrus ,I Would Die For You
Childish Gambino ,Les
Gunna ,Who You Foolin
CHVRCHES ,Never Ending Circles
LÉON ,Nobody Cares
Halsey ,Lilith
Flume ,Let You Know
Trey Songz ,Na Na
Paul Rosenberg ,Paul  Skit
Lizzo ,The Sign
Tee Grizzley ,2 Vaults
Kid Cudi ,The Adventures of Moon Man & Slim Shady
Ed Sheeran ,Perfect
A Boogie Wit da Hoodie ,No Promises
NAV ,One Time
Melanie Martinez ,Lunchbox Friends
$uicideboy$ ,$uicideboy$ Were Better In 2015
Zac Efron ,Rewrite The Stars
Selena Gomez ,Boyfriend
BTS ,Paradise
BTS ,Stay
Sia ,Bird Set Free
Lil Tjay ,Beat the Odds
Ty Dolla $ign ,Clout
Madcon ,Don't Worry
Big Sean ,FEED
Logic ,Stainless
Bebe Rexha ,Last Hurrah
Rod Wave ,Fading
Destiny's Child ,Carol of the Bells a.k.a Opera of the Bells
Future ,Damage
David Bowie ,Space Oddity  2009 Remastered Version
Lil Wayne ,Dark Side Of The Moon
Gucci Mane ,Love Thru The Computer
NF ,Chasing_(Demo)
Sam Smith ,Not In That Way
Lil Uzi Vert ,Bigger Than Life
Polo G ,Party Lyfe
Internet Money ,Flossin’
The 1975 ,UGH!
Tory Lanez ,The Take
A Boogie Wit da Hoodie ,Mood Swings
Taylor Swift ,Girl At Home (Taylor's Version)
Sam Feldt ,Post Malone
Imagine Dragons ,Believer
Tory Lanez ,Who Needs Love
Lil Tjay ,Hold On
Adele ,Make You Feel My Love
Calvin Harris ,Potion
Imagine Dragons ,Rise Up
Blvckengineer ,How They Move
A Tribe Called Quest ,Melatonin
Mitski ,There's Nothing Left Here for You
Of Monsters and Men ,Wolves Without Teeth
HAIM ,Gasoline
Kodak Black ,Malcolm X.X.X.
5 Seconds of Summer ,Wildflower
Outkast ,Hey Ya!
Dr. Dre ,Gospel
Ariana Grande ,borderline
Loud Luxury ,Body
Lil Baby ,Real As It Gets
JoJo ,Fuck Apologies
Clairo ,Softly
Kaash Paige ,Love Songs
Aminé ,Burden
Brenda Lee ,Rockin' Around the Christmas Tree  Rerecorded Version
Cafuné ,Tek It
Harry Styles ,Ever Since New York
Polo G ,GANG GANG
Migos ,Culture
Juice WRLD ,Flaws And Sins
The,Dream  That's My Shit
Gunna ,Yao Ming
Taylor Swift ,Untouchable (Taylor’s Version)
A Boogie Wit da Hoodie ,Big Shit
Major Lazer ,My Number
Prince ,Stare
Ellie Goulding ,Holding On For Life
Future ,WRLD On Drugs
DJ Khaled ,Nobody
Melanie Martinez ,Show & Tell
Blueface ,Thotiana (REMIX feat. YG)
Nick Jonas ,Close
ScHoolboy Q ,Floating
Keith Urban ,Somewhere In My Car
Dreamville ,Stick
Michael Bublé ,Nobody But Me
Eminem ,Untouchable
Harry Styles ,Kiwi
Grimes ,Flesh Without Blood
Cordae ,Kung Fu
Kygo ,Love Me Now
BTS ,Mikrokosmos
Drake ,Club Paradise
Ariana Grande ,34+35 Remix
5 Seconds of Summer ,COMPLETE MESS
JID ,151 Rum
Rich Brian ,100 Degrees
Logic ,White People  Scene
H.E.R. ,Slide
Thomas Rhett ,TShirt
SOB X RBE ,Paramedic!
Zach Bryan ,Late July
Maluma ,11 PM
Juice WRLD ,My Life In A Nutshell
Kendrick Lamar ,Momma
Zedd ,Stay
G,Eazy  Random
Mac Miller ,Malibu
Miguel ,Sky Walker
Diplo ,Welcome to the Party
24kGoldn ,VALENTINO
Eminem ,My Name Is
Trippie Redd ,Me Likey
Drake ,Ice Melts
Ariana Grande ,worst behavior
"Tyler, The Creator ",WUSYANAME
Drake ,Middle of the Ocean
YoungBoy Never Broke Again ,Slime Belief
TOMORROW X TOGETHER ,CROWN
Anitta ,Me Gusta
Sech ,Otro Trago
Future ,Tycoon
Alesso ,Chasing Stars
Kristen Bell ,Some Things Never Change
Ñengo Flow ,Gato de Noche
Gunna ,3 Headed Snake
Lil Uzi Vert ,Bust Me
Taylor Swift ,You Need To Calm Down
Pusha T ,If You Know You Know
Rap Nation ,Star Shopping
Lil Nas X ,Late To Da Party
Billie Eilish ,Not My Responsibility
2 Chainz ,Statute Of Limitations
Drake ,What’s Next
Jessie Murph ,Always Been You
The All,American Rejects  Dirty Little Secret
21 Savage ,Dead People
Lana Del Rey ,Heroin
Megan Thee Stallion ,Hot Girl Summer
The Chainsmokers ,I Love U
Drake ,Hype
Dynoro ,In My Mind
Tove Lo ,Disco Tits
Harry Styles ,Fine Line
Young Thug ,Dirty Shoes
Sheppard ,Geronimo
Gucci Mane ,Kept Back
Dua Lipa ,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")"
The Backseat Lovers ,Kilby Girl
Ski Mask The Slump God ,The Matrix
Katy Perry ,Bon Appétit
Mir0sama ,BAG SZN
Tim McGraw ,Shotgun Rider
Panic! At The Disco ,Dying In LA
Bryson Tiller ,You Got It
Lorde ,Royals
Logic ,Mama/Show Love
Ariana Grande ,Santa Baby
Playboi Carti ,Shoota
Lana Del Rey ,Happiness is a butterfly
Charlie Puth ,Light Switch
Dillon Francis ,Anywhere
Drake ,Sticky
Playboi Carti ,Slay3r
Jhené Aiko ,Pray For You
Nicky Jam ,Te Robaré
Future ,Keep Quiet
Big Sean ,Stay Down
Post Malone ,Wow.  Remix
blink,182  I Really Wish I Hated You
BTS ,IDOL
Ariana Grande ,off the table
MARINA ,Savages
Jamie xx ,I Know There's Gonna Be (Good Times)
Chance the Rapper ,Summer Friends
Ne,Yo  She Knows
Carly Rae Jepsen ,I Really Like You
Travis Scott ,SKELETONS
D'Angelo ,Ain't That Easy
Kid Ink ,Every City We Go
Chris Brown ,Remember Me
Denzel Curry ,BIRDZ Feat. Rick Ross
6ix9ine ,WAKA
J. Cole ,ATM
Machine Gun Kelly ,DAYWALKER!
Florida Georgia Line ,Women
BROCKHAMPTON ,BANKROLL
Migos ,Movin' Too Fast
Leah Kate ,10 Things I Hate About You
Zach Bryan ,Starved
Mustard ,Want Her
John Prine ,Angel from Montgomery
DUSTY LOCANE ,ROLLIN N CONTROLLIN FREESTYLE
Bad Bunny ,El Apagón
Eyedress ,Jealous
Vince Staples ,Yeah Right
Wiz Khalifa ,Letterman
John Mayer ,You're Gonna Live Forever in Me
Fat Joe ,All The Way Up (Remix)
Machine Gun Kelly ,WWIII
Justin Bieber ,Get Me
Little Big Town ,"Wine, Beer, Whiskey"
Tory Lanez ,Skrt Skrt
Thirty Seconds To Mars ,Love Is Madness
Future ,Baptiize
iLoveMemphis ,Hit the Quan  Original Version
Rich The Kid ,4 Phones
Harry Styles ,Boyfriends
Pop Smoke ,44 BullDog
Polo G ,Pop Out
Linkin Park ,In The End
Metro Boomin ,Lesbian
Cardi B ,Money Bag
Zedd ,True Colors
Young Thug ,Wyclef Jean
Brandon Shinin ,Big Bros
Yo Gotti ,Castro
Juice WRLD ,Come & Go
Jordan Davis ,What My World Spins Around
SZA ,Conceited
The Beatles ,Something  Remastered
Kanye West ,Nah Nah Nah
Big Sean ,Owe Me
Shawn Mendes ,In My Blood
21 Savage ,a&t
Justin Bieber ,No Pressure
Andy Williams ,The First Noël
Maliibu N Helene ,Figure 8
The Carters ,SUMMER
Pitbull ,Greenlight
Coldplay ,Birds
AJR ,Burn the House Down
Selena Gomez ,Dance Again
Lady Gaga ,Stupid Love
Quavo ,BIGGEST ALLEY OOP
Muscadine Bloodline ,Me On You
Megan Thee Stallion ,Diamonds
Tom Petty and the Heartbreakers ,Listen To Her Heart
Nicki Minaj ,Majesty
Eminem ,Killshot
Future ,Life Is Good
Calvin Harris ,Cash Out
Florida Georgia Line ,Drinkin' Beer. Talkin' God. Amen.
Logic ,BOBBY
Jonas Brothers ,Happy When I'm Sad
Mary Lambert ,Secrets
Future ,You Da Baddest
Logic ,A2Z
Lady Gaga ,I'll Never Love Again  Film Version
Lil Yachty ,COUNT ME IN
City Girls ,Twerkulator
Headie One ,Only You Freestyle
Selena Gomez ,Lose You To Love Me
Future ,KEEP IT BURNIN
Yot Club ,YKWIM?
TV On The Radio ,Right Now
Becky G ,Shower
Future ,I'm so Groovy
Justin Bieber ,Love Yourself
Young Dolph ,Break The Bank
Michael Bublé ,White Christmas (duet with Shania Twain)
Bring Me The Horizon ,DiE4u
Chance the Rapper ,65th & Ingleside
YoungBoy Never Broke Again ,I Know
Eslabon Armado ,HASTA LA MUERTE
French Montana ,Off The Rip
The Chainsmokers ,Wake Up Alone
Miley Cyrus ,Week Without You
Post Malone ,"New Recording 12, Jan 3, 2020"
2 Chainz ,Momma I Hit A Lick
XXXTENTACION ,School Shooters
6LACK ,That Far
Tame Impala ,On Track
Anuel AA ,Ferrari
Swae Lee ,Hurt To Look
Logic ,America
Francis and the Lights ,May I Have This Dance (Remix)
Little Nell ,Time Warp
Pitbull ,Messin' Around
Pentatonix ,God Rest Ye Merry Gentlemen
Summer Walker ,Potential
Ariana Grande ,Thinking Bout You
DJ Snake ,The Half
Meat Loaf ,I'd Do Anything For Love (But I Won't Do That)  Single Edit
Twenty One Pilots ,Leave The City
BROCKHAMPTON ,I'LL TAKE YOU ON
Lil Eazzyy ,Onna Come Up
Lil Uzi Vert ,Money Spread
Lainey Wilson ,Heart Like A Truck
Shawn Mendes ,24 Hours
DJ Khaled ,POPSTAR
Saweetie ,Tap In
One Direction ,One Thing
Yung Gravy ,Betty (Get Money)
ZAYN ,Let Me
Phoebe Ryan ,Ignition / Do You... (Mashup)
Ellie Goulding ,Close To Me
GoldLink ,Crew
DJ Khaled ,"FAM GOOD, WE GOOD"
Bruno Mars ,Silk Sonic Intro
Hayley Kiyoko ,What I Need
Twenty One Pilots ,Bandito
Playboi Carti ,R.I.P.
Bad Bunny ,Tenemos Que Hablar
Axwell /\ Ingrosso ,Sun Is Shining
Bo Burnham ,Goodbye
Yellow Claw ,Good Day
OneRepublic ,Rich Love
Møme ,Aloha
YG ,SUU WHOOP
Justin Bieber ,All Around Me
Temple Of The Dog ,Hunger Strike
Cardi B ,Please Me
Kanye West ,Pure Souls
$uicideboy$ ,Nicotine Patches
Old Dominion ,Snapback
Burl Ives ,A Holly Jolly Christmas  Single Version
Future ,Marni On Me
Kendrick Lamar ,DUCKWORTH.
XXXTENTACION ,Carry On
Khalid ,Shot Down
KIDS SEE GHOSTS ,Fire
Logic ,Thank You (ft. Lucy Rose & The RattPack)
YG ,Out On Bail
Megan Thee Stallion ,Cry Baby
Future ,F&N
Beck ,Say Goodbye
Florence + The Machine ,What Kind Of Man
Dean Martin ,Jingle Bells
Yeat ,Talk
Gucci Mane ,I'm Not Goin'
Migos ,Danger
ZAYN ,Fingers
Wale ,Poke It Out
Ariana Grande ,Sometimes
DJ Khaled ,(Intro) I'm so Grateful
Sia ,Genius
SZA ,Too Late
Future ,Too Comfortable
Kygo ,Riding Shotgun
Bring Me The Horizon ,Obey
Megan Thee Stallion ,Shots Fired
Lil Yachty ,Flex Up
Wiz Khalifa ,Ocean
Ed Sheeran ,I'm a Mess
NexXthursday ,Sway
Britney Spears ,Clumsy
Taylor Swift ,dorothea
Fetty Wap ,Jugg
Juice WRLD ,Real Shit
Mac Miller ,2009
PinkPantheress ,Just for me
Kane Brown ,Cool Again
Olivia Holt ,History
Pretenders ,2000 Miles  2007 Remaster
Playboi Carti ,Poke It Out
Zedd ,Candyman
Offset ,Wild Wild West
Bruno Mars ,Blast Off
Mark Ronson ,Daffodils
Foo Fighters ,What Did I Do?/God As My Witness
Alabama Shakes ,Gimme All Your Love
DaBaby ,WIG
$uicideboy$ ,Meet Mr. NICEGUY
Axwell /\ Ingrosso ,More Than You Know
Gunna ,Speed It Up
Lil Nas X ,DEAD RIGHT NOW
Kelly Clarkson ,Heartbeat Song
YoungBoy Never Broke Again ,Time I'm On
Jack Garratt ,Weathered
Lorde ,Stoned at the Nail Salon
A$AP Rocky ,Electric Body
Wiz Khalifa ,Celebrate
Kodak Black ,Transgression
Frank Ocean ,Novacane
New Politics ,Everywhere I Go (Kings and Queens)
Khalid ,New Normal
Brent Faiyaz ,BAD LUCK
The Weeknd ,Blinding Lights
Future ,MASSAGING ME
Ed Sheeran ,Stop The Rain
Kendrick Lamar ,i
King Von ,Took Her To The O
Brent Faiyaz ,Show U Off
Taylor Swift ,Snow On The Beach
Ben Platt ,Found/Tonight
Jack Harlow ,Same Guy
The Game ,Eazy
Denzel Curry ,AUTOMATIC
$uicideboy$ ,Avalon
BTS ,FAKE LOVE
Lil Pump ,Designer
blink,182  No Future
Lil Peep ,Broken Smile (My All)
Gunna ,Same Yung Nigga
Drake ,Headlines
Joji ,Glimpse of Us
Playboi Carti ,Punk Monk
Elvis Presley ,O Little Town of Bethlehem
Mac Miller ,Everybody
G,Eazy  Some Kind Of Drug  Earwulf Remix
Selena Gomez ,My Mind & Me
Pooh Shiesty ,Neighbors
Kenny Chesney ,Happy Does
A Tribe Called Quest ,Kids...
Bad Bunny ,HACIENDO QUE ME AMAS
Khalid ,Right Back
Moneybagg Yo ,Scorpio
Panic! At The Disco ,Roaring 20s
Kid Trunks ,Plottin
T.I. ,About the Money
Young Thug ,On The Run
Justin Bieber ,MLK Interlude
Rick Ross ,Rich Nigga Lifestyle
Kanye West ,Closed On Sunday
Melanie Martinez ,Wheels on the Bus
Pentatonix ,"Mary, Did You Know?"
Offset ,Lick
Cashmere Cat ,Quit
Post Malone ,Blame It On Me
Kendrick Lamar ,LUST.
J. Cole ,She Knows
Pentatonix ,Hallelujah
Grouplove ,Tongue Tied
DJ Khaled ,On Everything
Sam Smith ,HIM
Kanye West ,Jonah
Trippie Redd ,iPhone
Harry Styles ,To Be So Lonely
DJ Khaled ,BIG PAPER
Lin,Manuel Miranda  My Shot
Ty Dolla $ign ,Love U Better
Delacey ,Cruel Intentions
Migos ,Taco Tuesday
Isaiah Rashad ,Claymore
Taylor Swift ,Love Story
Ellie Goulding ,Army
Eminem ,Gnat
Taylor Swift ,Question...?
The Jackson 5 ,Santa Claus Is Coming To Town
T.I. ,No Mediocre
A Boogie Wit da Hoodie ,Secrets
Brett Young ,Like I Loved You
A$AP Rocky ,Bad Company
John Prine ,Clay Pigeons
The Strumbellas ,Spirits
Drake ,Intro
Future ,Life Is Good
Bryce Vine ,Drew Barrymore
Kevin Gates ,Kno One
Rod Wave ,Invisible Scar
Agust D ,People
Hazers ,Changes
Quavo ,SHINE
Taylor Swift ,cowboy like me
Rich The Kid ,Red
Halsey ,Alone (Feat. Big Sean & Stefflon Don)
J. Cole ,Wet Dreamz
YG ,BULLETPROOF
Mariah Carey ,Oh Santa!
Madeon ,You're On
Maroon 5 ,She Will Be Loved  Radio Mix
TOOL ,Schism
Panic! At The Disco ,King Of The Clouds
Jeremih ,oui
Eric Church ,Hell Of A View
Vampire Weekend ,How Long?
Bazzi ,Focus
Jhené Aiko ,The Worst
Lil Pump ,Foreign
Taylor Swift ,Welcome To New York
Tee Grizzley ,From The D To The A
Ed Sheeran ,Cross Me
Juice WRLD ,Feeling
Migos ,Mahomes
Lady Gaga ,Joanne
Harry Styles ,Music For a Sushi Restaurant
Jon Bellion ,Luxury
Justin Bieber ,Friends
Maroon 5 ,Feelings
Thomas Rhett ,What’s Your Country Song
Kanye West ,Pt. 2
Meek Mill ,24/7
Francis and the Lights ,Friends
DeJ Loaf ,Back Up
Florence + The Machine ,Patricia
Kendrick Lamar ,Backseat Freestyle
Melanie Martinez ,The Bakery
Joji ,Afterthought
Rod Wave ,By Your Side
Big Sean ,Deep
Lil Baby ,Up The Side
Aminé ,REEL IT IN
ZAYN ,iT's YoU
Ariana Grande ,better off
KYLE ,Money Now
Travis Scott ,5% TINT
Lil Uzi Vert ,New Patek
Zac Brown Band ,Chicken Fried
The Kid LAROI ,"F*CK YOU, GOODBYE"
YoungBoy Never Broke Again ,Fire Stars
DJ Khaled ,It's Secured
Pop Smoke ,AP  Music from the film Boogie
Lil Baby ,Heyy
Miranda Lambert ,Bluebird
DRAM ,Ill Nana
Bea Miller ,feel something
Lil Wayne ,Love Me
Miley Cyrus ,Malibu
Coldplay ,Orphans
Anderson .Paak ,The Chase
NLE Choppa ,Forever
Ariana Grande ,test drive
Ariana Grande ,Side To Side
Vince Gill ,Have Yourself A Merry Little Christmas
Jason Derulo ,Cheyenne
Marshmello ,Tongue Tied
Joji ,R.I.P.
Lil Wayne ,Mama Mia
Future ,Heart In Pieces
Van Halen ,Dance the Night Away  2015 Remaster
Usher ,Yeah
ILLENIUM ,Good Things Fall Apart
Ivan Cornejo ,Está Dañada
Lil Wayne ,Wild Dogs
XXXTENTACION ,Introduction (instructions)
Nicki Minaj ,I Get Crazy
Coldplay ,The Scientist
Kenny Chesney ,American Kids
The Chainsmokers ,Something Just Like This
Fall Out Boy ,The Kids Aren't Alright
SAINt JHN ,Just For Me
Lady Gaga ,Poker Face
Little Mix ,Black Magic
Drake ,Passionfruit
Avicii ,Waiting For Love
Future ,Harlem Shake
Melanie Martinez ,Drama Club
B.B. King ,Better Not Look Down  Single Version
Sia ,Never Give Up
Cole Swindell ,She Had Me At Heads Carolina
Post Malone ,Too Young
Camila Cabello ,Shameless
DJ ESCO ,Xotic
Shoffy ,Takes My Body Higher
Alan Walker ,Faded
Tyga ,Freaky Deaky
Drake ,Started From the Bottom
Stevie Nicks ,Edge of Seventeen  2016 Remaster
Isaiah Rashad ,Don't Shoot
DJ Khaled ,Celebrate
Kent Jones ,Alright
Pop Smoke ,30
Zara Larsson ,Lush Life
Lil Tjay ,Calling My Phone
Sam Smith ,Stay With Me  Darkchild Version
Nicki Minaj ,Buy A Heart
Pop Smoke ,The Woo
Kendrick Lamar ,United In Grief
The Carters ,BOSS
Wiz Khalifa ,You And Your Friends
My Chemical Romance ,The Foundations of Decay
Future ,Outer Space Bih
JoeLew ,Verified
Mustard ,Ballin'
Doja Cat ,Get Into It (Yuh)
Elton John ,Tiny Dancer
Pusha T ,Dreamin Of The Past
Ty Dolla $ign ,Or Nah
Post Malone ,Paranoid
The Weeknd ,I Was Never There
José Feliciano ,Feliz Navidad
blink,182  Brohemian Rhapsody
Bazzi ,Renee's Song
Brantley Gilbert ,The Weekend
Future ,Hallucinating
"Tyler, The Creator ",SMUCKERS
J. Cole ,Window Pain  Outro
Tame Impala ,Breathe Deeper
Lorde ,Mood Ring
Logic ,Wannabe
Offset ,Nightmare
Empire Cast ,What Is Love
Kane Brown ,Good as You
Future ,HOLY GHOST
Deorro ,Five More Hours  Deorro x Chris Brown
Juice WRLD ,Bad Energy
Luke Combs ,Angels Workin' Overtime
Drake ,Chicago Freestyle
Rod Wave ,Break My Heart
Troye Sivan ,Angel Baby
James Blake ,Mile High
The Chainsmokers ,Side Effects
Rae Sremmurd ,Perplexing Pegasus
Lorde ,Big Star
XXXTENTACION ,Look At Me!
R3HAB ,Killing Time
Lil Yachty ,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake)
Likybo ,Kraazy
Matthew Wilder ,Break My Stride
Halsey ,The Tradition
Kendrick Lamar ,Money Trees
Kanye West ,Lord I Need You
Drake ,Summer Games
J Balvin ,Verde
Louis The Child ,Dear Sense
Maluma ,Hawái  Remix
Rex Orange County ,ONE IN A MILLION
Luke Bryan ,Country On
Ryan Adams ,I Wish You Would
Moxie Raia ,Buffalo Bill
Luke Combs ,Outrunnin' Your Memory
Offset ,After Dark
Labrinth ,Still Don't Know My Name
Doja Cat ,Celebrity Skin
21 Savage ,My Choppa Hate Niggas
Vampire Weekend ,Unbearably White
Beyoncé ,PURE/HONEY
Melanie Martinez ,Pity Party
Steve Angello ,Children Of The Wild
Yung Bleu ,You’re Mines Still
Bring Me The Horizon ,Can You Feel My Heart
Drake ,Grammys
Jax Jones ,Instruction
Young Thug ,Icey
Joni Mitchell ,River
Gunna ,poochie gown
Gucci Mane ,Rich Ass Junkie
The Lumineers ,Stubborn Love
BTS ,Serendipity (Full Length Edition)
Drake ,Ratchet Happy Birthday
Kings of Leon ,Around The World
The Lumineers ,Ho Hey
Future ,Sleeping On The Floor
ZAYN ,MiNd Of MiNdd (Intro)
Troye Sivan ,Plum
Straight No Chaser ,Text Me Merry Christmas
Kygo ,Firestone
Thomas Rhett ,Unforgettable
Bad Bunny ,Estamos Bien
DaBaby ,XXL
Sigala ,Easy Love
Cardi B ,Be Careful
DJ Khaled ,BEAUTIFUL
The Weeknd ,Every Angel is Terrifying
"Tyler, The Creator ",WHAT'S GOOD
LANY ,you!
Wiz Khalifa ,Gin and Drugs
Kanye West ,Violent Crimes
A$AP Rocky ,Sundress
quinnie ,touch tank
Childish Gambino ,35.31
Bebe Rexha ,Ferrari
j,hope  Safety Zone
Fireboy DML ,Peru
Joyner Lucas ,Will  Remix
Coldplay ,A Sky Full of Stars
Chris Stapleton ,Whiskey And You
Agust D ,Interlude : Set me free
Ella Henderson ,Hard Work
Mac Miller ,Dunno
J. Cole ,Immortal
Young Thug ,Surf
Sam Smith ,Lay Me Down
Khalid ,Bad Luck
Migos ,Give No Fxk
Francesco Yates ,Call
Leith Ross ,We'll Never Have Sex
Daya ,Cool
Tory Lanez ,Do The Most
Summer Walker ,Insane
Luke Combs ,The Other Guy
Lana Del Rey ,Groupie Love
5 Seconds of Summer ,Not In The Same Way
Charlie Puth ,How Long
Megan Thee Stallion ,Do It On The Tip
Mike WiLL Made,It  On The Come Up
Mike Posner ,Move On
Lil Yachty ,WHOLE lotta GUAP
Doja Cat ,Ain't Shit
Kygo ,First Time
Run The Jewels ,ooh la la
YoungBoy Never Broke Again ,Home Ain't Home
Halsey ,You asked for this
Olly Murs ,Wrapped Up
Young Thug ,Climax
PARTYNEXTDOOR ,SHOWING YOU
Bryson Tiller ,Teach Me a Lesson
Trippie Redd ,Kid That Kidd
Justin Timberlake ,Supplies
BTS ,Euphoria
Luke Combs ,Beer Never Broke My Heart
DJ Khaled ,LET IT GO
Travis Scott ,90210
Ty Dolla $ign ,LA
Halsey ,Whispers
Kevin Gates ,Know Better
Ozuna ,Unica
Jack Harlow ,Tyler Herro
Blake Shelton ,She's Got a Way With Words
J Balvin ,Una Nota
Bad Bunny ,Ignorantes
Gunna ,Wit It
Tyler Childers ,Country Squire
24kGoldn ,"3, 2, 1"
Luke Combs ,One Number Away
Charlie Puth ,One Call Away
XXXTENTACION ,Riot
Doja Cat ,Say So
Drake ,Preach
Travis Mills ,Don't Need Much
Nio Garcia ,La Jeepeta  Remix
6ix9ine ,TUTU
Jason Derulo ,Take You Dancing
Childish Gambino ,Summertime Magic
The Backyardigans ,Castaways
21 Savage ,Red Opps
Playboi Carti ,Old Money
Summer Walker ,4th Baby Mama  Prelude
Eslabon Armado ,Ando Más Que Mal
Sech ,Otro Trago  Remix
J Balvin ,In Da Getto
G,Eazy  West Coast
Vince Guaraldi Trio ,O Tannenbaum
Post Malone ,I Cannot Be (A Sadder Song)
Enrique Iglesias ,DUELE EL CORAZON
Baby Keem ,issues
Keyliu ,Life Is a Puzzle Solve It
Shawn Mendes ,Look Up At The Stars
Shordie Shordie ,Bitchuary
One Direction ,What a Feeling
Metro Boomin ,10 Freaky Girls
Bring Me The Horizon ,mother tongue
The Beatles ,I Want To Hold Your Hand  Remastered 2015
Stan Kenton ,Lonesome Train
Destiny's Child ,"Bills, Bills, Bills"
BTS ,Outro: Her
Kevin Gates ,Big Gangsta
Yeat ,Rich Minion
TW3LVE ,"Look at Me, Don't Look at Me"
BTS ,Pied Piper
Eminem ,Bad Husband
Migos ,Antisocial
24kGoldn ,Company
The Weeknd ,Die For You
Lauv ,26
R3HAB ,You Could Be
Polo G ,Don’t Play
Panic! At The Disco ,Hallelujah
Miley Cyrus ,Edge of Midnight (Midnight Sky Remix)
Logic ,One Day (ft. Ryan Tedder)
AJR ,100 Bad Days
Ariana Grande ,Winter Things
Jonas Blue ,Rise
Zedd ,Addicted To A Memory
Kygo ,The Truth
21 Savage ,4L
Mac Miller ,So It Goes
Tom Petty and the Heartbreakers ,Learning To Fly
XXXTENTACION ,going down!
A Boogie Wit da Hoodie ,Startender
Rex Orange County ,Never Had The Balls
Logic ,Pretty Young Girl
Troye Sivan ,Lucky Strike
YK Osiris ,Worth It
Morgan Wallen ,Whatcha Think Of Country Now
Carpenters ,Sleigh Ride
Ty Dolla $ign ,Spicy
Luis Fonsi ,Despacito  Remix
Logic ,Lord Willin'
Kanye West ,Hurricane
Jon Pardi ,Head Over Boots
Young Thug ,Guwop
Lil Baby ,Emotionally Scarred
Trinidad Cardona ,Dinero
Future ,LIKE ME
BLACKPINK ,Crazy Over You
Marc E. Bassy ,Plot Twist
Lil Baby ,Get Ugly
Young Stoner Life ,I Like
Lana Del Rey ,Video Games  Remastered
Juice WRLD ,Go Hard
Monsieur Periné ,Nuestra Canción
Fall Out Boy ,Centuries
Camila Cabello ,She Loves Control
Don Toliver ,Cardigan
Miranda Lambert ,Vice
Pia Mia ,Do It Again
Colbie Caillat ,Try
Juice WRLD ,Hurt Me
Zara Larsson ,Don't Worry Bout Me
Afrojack ,Gone
Lil Uzi Vert ,Do What I Want
Yeat ,Big tonka
Summer Walker ,Switch A Nigga Out
Summer Walker ,You Don’t Know Me
Linkin Park ,BURN IT DOWN
TV Girl ,Not Allowed
Soundgarden ,Black Hole Sun
The Wombats ,Greek Tragedy
Lil Skies ,Name in the Sand
Linkin Park ,Heavy
Anderson .Paak ,Trippy
Don Toliver ,No Idea
